rank,code,name,market,sector,market_cap,Growth,Value,Quality,Trend,Risk,Total,sector_peer_count,as_of_date,generated_at,market_data_source,data_grade,financial_years,dart_source_rcept_dt,dart_source_rcept_no
45,183300,코미코,KOSDAQ GLOBAL,전기·전자,1563872258000,58.95,74.81,61.69,50.0,35.81,61.36,59,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240321|20250321|20260323,20240321000669|20250321000403|20260323001516
46,068270,셀트리온,KOSPI,의약품,44032550982400,56.41,56.02,73.11,59.19,66.64,61.18,33,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240318|20250317|20260316,20240318000913|20250317000929|20260316001415
47,014680,한솔케미칼,KOSPI,기타,3251875770000,68.22,32.85,81.93,61.1,52.69,61.02,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240312|20250310|20260318,20240312000921|20250310000865|20260318001424
48,058470,리노공업,KOSDAQ GLOBAL,전기·전자,8581454310000,58.48,36.82,94.75,53.73,50.49,60.94,59,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240318|20250318|20260318,20240318000177|20250318000229|20260318000182
49,077970,STX엔진,KOSPI,기타,2208143465000,78.91,32.77,58.71,70.77,30.29,60.29,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,B,2023|2024|2025,20240320|20250321|20260323,20240320000369|20250321000939|20260323000690
50,005490,POSCO홀딩스,KOSPI,철강·금속,41601801675000,47.5,56.25,55.0,81.25,60.28,60.0,4,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240322|20250312|20260311,20240322000986|20250312001016|20260311004517
51,195940,HK이노엔,KOSDAQ GLOBAL,의약품,1422160528200,43.77,94.49,44.73,56.64,62.51,59.91,33,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240320|20250318|20260318,20240320001555|20250318000969|20260318000705
52,064760,티씨케이,KOSDAQ GLOBAL,전기·전자,3342645384000,46.82,54.43,87.88,50.34,42.94,59.87,59,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240321|20250320|20260310,20240321000881|20250320001057|20260310002891
53,353200,대덕전자,KOSPI,기타,6088165160000,87.85,15.6,56.0,79.67,38.65,59.78,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240320|20250319|20260318,20240320001649|20250319000892|20260318001514
54,458870,씨어스,KOSDAQ,의약품,1568061288000,72.32,15.74,84.33,66.5,44.07,59.72,33,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,B,2024|2025,20250321|20260319,20250321001543|20260319000571
55,003690,코리안리,KOSPI,기타,2140091685410,76.18,65.29,64.91,32.07,76.55,59.61,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024,20240430|20250331,20240430001103|20250331003380
56,259960,크래프톤,KOSPI,서비스업,12942470268000,46.25,55.12,84.29,52.5,51.96,59.54,14,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240318|20250318|20260316,20240318000420|20250318001121|20260316001313
57,079550,LIG디펜스앤에어로스페이스,KOSPI,운수장비,18480000000000,71.67,28.33,56.67,81.11,31.5,59.45,9,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240320|20250321|20260323,20240320001078|20250321002001|20260323001211
58,000270,기아,KOSPI,운수장비,64222938171000,62.78,65.0,76.67,33.33,54.3,59.44,9,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240312|20250313|20260312,20240312000909|20250313001390|20260312001224
59,035900,JYP Ent.,KOSDAQ GLOBAL,서비스업,2128396270800,67.86,65.23,76.7,27.5,61.25,59.32,14,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240318|20250317|20260318,20240318000479|20250317000598|20260318001519
60,267250,HD현대,KOSPI,기계,22829001565000,43.75,77.68,53.89,61.39,56.37,59.18,18,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240321|20250319|20260320,20240321001432|20250319001012|20260320000872
61,016360,삼성증권,KOSPI,증권,12251960000000,55.75,61.67,53.0,66.0,50.19,59.1,5,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240313|20250306|20260312,20240313001446|20250306000628|20260312001379
62,028670,팬오션,KOSPI,기타,3196725681760,54.85,69.34,52.93,59.29,65.58,59.1,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240319|20250318|20260319,20240319000829|20250318000777|20260319001097
63,012330,현대모비스,KOSPI,운수장비,46182884747000,50.0,70.0,56.67,59.44,52.02,59.03,9,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240319|20250311|20260309,20240319000626|20250311001180|20260309001878
64,207940,삼성바이오로직스,KOSPI,의약품,68140279872000,57.13,45.2,77.02,56.7,68.35,59.01,33,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,B,2023|2024|2025,20240307|20250814|20260312,20240307000835|20250814004283|20260312001119
65,012510,더존비즈온,KOSPI,기타,3647378400000,76.11,28.72,76.36,54.24,65.39,58.86,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240313|20250317|20260318,20240313001285|20250317001028|20260318001198
66,462870,시프트업,KOSPI,기타,1827082691000,83.35,50.64,89.42,11.7,44.15,58.78,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,B,2024|2025,20250319|20260318,20250319000952|20260318001672
67,071050,한국금융지주,KOSPI,증권,14962428852000,36.0,72.0,65.0,61.0,39.04,58.5,5,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20250320|20250320|20260319,20250320000836|20250320000910|20260319001006
68,012630,HDC,KOSPI,기타,1660819843800,53.03,85.33,38.08,56.57,55.67,58.25,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240321|20250812|20260318,20240321000304|20250812000713|20260318001262
69,214150,클래시스,KOSDAQ GLOBAL,의약품,3627102640400,52.25,80.64,65.98,34.11,50.44,58.24,33,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240320|20250321|20260323,20240320000675|20250321001623|20260323001541
70,081660,미스토홀딩스,KOSPI,기타,2022799104000,66.86,76.6,65.09,24.04,69.6,58.15,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240320|20250321|20260318,20240320000962|20250321001837|20260318000916
71,042660,한화오션,KOSPI,기계,38638728983400,78.75,66.47,58.89,28.33,48.75,58.11,18,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,B,2023|2024|2025,20240328|20250314|20260317,20240328000773|20250314001630|20260317000644
72,036570,NC,KOSPI,기타,5504497621000,58.78,46.25,65.62,61.3,64.07,57.99,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240322|20250328|20260318,20240322000989|20250328002285|20260318001448
73,007660,이수페타시스,KOSPI,전기·전자,10358040800900,78.46,41.49,70.85,40.51,28.88,57.83,59,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240321|20250321|20260323,20240321001149|20250321001007|20260323000847
74,166090,하나머티리얼즈,KOSDAQ GLOBAL,전기·전자,1582213920000,45.63,63.04,66.27,56.27,41.11,57.8,59,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240315|20250314|20260313,20240315000450|20250314001222|20260313001351
75,298040,효성중공업,KOSPI,전기·전자,41009362104000,78.77,38.58,52.37,60.08,44.82,57.45,59,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240315|20250814|20260323,20240315000877|20250814003044|20260323001004
76,007340,DN오토모티브,KOSPI,기타,2989905201500,39.26,43.8,68.88,77.38,53.78,57.33,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240315|20250313|20260312,20240315000015|20250313001452|20260312001285
77,005940,NH투자증권,KOSPI,증권,13042203905400,51.5,59.33,57.0,61.0,48.63,57.21,5,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240514|20250313|20260313,20240514000627|20250313000770|20260313000771
78,005440,현대지에프홀딩스,KOSPI,기타,2319855998880,55.15,60.54,58.83,53.68,50.26,57.05,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240320|20250829|20260319,20240320001537|20250829000910|20260319000764
79,051910,LG화학,KOSPI,화학,30319411318500,52.5,36.25,82.5,55.83,46.21,56.77,6,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,B,2023|2024|2025,20240315|20250731|20260313,20240315000957|20250731000339|20260313001195
80,032830,삼성생명,KOSPI,보험업,59000000000000,41.67,53.33,40.0,91.67,57.95,56.67,3,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024,20240612|20250331,20240612000329|20250331004004
81,035420,NAVER,KOSPI,서비스업,33727861840000,54.2,74.79,58.16,39.29,54.66,56.61,14,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240318|20250318|20260313,20240318000844|20250318000645|20260313001021
82,124500,아이티센글로벌,KOSDAQ,우량기업부,1348183018700,94.17,30.0,53.33,48.33,9.66,56.46,3,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,B,2023|2025,20240329|20260323,20240329003280|20260323001492
83,009970,영원무역홀딩스,KOSPI,기타,2821340533000,44.35,56.75,74.79,49.5,66.19,56.35,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240401|20250321|20260319,20240401004179|20250321001884|20260319001240
84,375500,DL이앤씨,KOSPI,기타,3691371634200,39.21,58.56,42.87,84.38,39.48,56.26,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024,20240328|20250814,20240328001465|20250814001988
85,214450,파마리서치,KOSDAQ GLOBAL,의약품,3542869968000,58.03,89.49,60.12,17.08,22.19,56.18,33,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240315|20250317|20260319,20240315000795|20250317000758|20260319001417
86,005850,에스엘,KOSPI,기타,3172433916000,43.23,51.09,73.88,55.8,48.08,56.0,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240318|20250318|20260318,20240318000589|20250318000826|20260318000781
87,319660,피에스케이,KOSDAQ GLOBAL,전기·전자,3012538256000,39.15,56.22,76.53,51.19,37.12,55.77,59,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240321|20250321|20260323,20240321001864|20250321001930|20260323000017
88,383220,F&F,KOSPI,기타,3183317932500,38.44,48.44,87.28,48.81,64.05,55.74,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240320|20250318|20260318,20240320001667|20250318001144|20260318001512
89,316140,우리금융지주,KOSPI,은행,24114407112000,41.67,62.5,53.33,65.0,69.07,55.62,6,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2025,20240516|20260313,20240516001472|20260313001235
90,101490,에스앤에스텍,KOSDAQ,전기·전자,1866801912500,57.09,70.72,57.03,37.63,37.03,55.62,59,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240315|20250317|20260316,20240315000401|20250317000263|20260316000487
91,139130,iM금융지주,KOSPI,기타,3067929535300,33.53,77.21,49.79,61.34,68.63,55.47,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240430|20250318|20260318,20240430000805|20250318000693|20260318000971
92,030610,교보증권,KOSPI,기타,1690070711630,60.25,67.68,21.74,71.64,46.73,55.33,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2024|2025,20250313|20260317,20250313000901|20260317000550
93,021240,코웨이,KOSPI,기타,6199226517600,65.72,54.9,77.43,23.05,60.83,55.28,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240329|20250321|20260323,20240329002735|20250321001734|20260323000924
94,084370,유진테크,KOSDAQ,전기·전자,3405323841200,43.19,41.72,76.1,60.08,35.65,55.27,59,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240321|20250320|20260319,20240321001566|20250320000992|20260319000837
95,089970,브이엠,KOSDAQ,전기·전자,1374845722500,71.65,30.8,69.75,48.22,41.07,55.1,59,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,B,2023|2024|2025,20240320|20250814|20260320,20240320001332|20250814002358|20260320000666
96,039030,이오테크닉스,KOSDAQ GLOBAL,전기·전자,5894904675000,69.2,34.2,73.47,42.71,44.98,54.9,59,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240320|20250320|20260323,20240320001082|20250320001508|20260323001573
97,281740,레이크머티리얼즈,KOSDAQ,화학,1455931638200,58.33,13.75,95.83,50.83,36.18,54.68,6,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240320|20250318|20260318,20240320000555|20250318000856|20260318001193
98,003380,하림지주,KOSDAQ GLOBAL,음식료품,1438152173640,50.0,30.0,66.67,71.67,35.57,54.59,3,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240320|20250320|20260323,20240320002008|20250320001438|20260323001527
99,000720,현대건설,KOSPI,건설업,18262345460000,73.5,46.5,50.0,48.0,33.76,54.5,5,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240329|20251017|20260318,20240329003141|20251017000151|20260318001395
100,138930,BNK금융지주,KOSPI,기타,5554853890700,57.17,82.59,31.7,46.48,70.03,54.48,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240314|20250318|20260318,20240314001564|20250318001176|20260318001147
